ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
1213,Who is Prince Frederic von Anhalt?,other,na,neut,na,na,surprise
1214,Latest food-fad -- 'space potatoes',other,na,neut,na,na,surprise
1215,Ethiopia readies for millennium all its own,other,na,positive,na,positive,joy
1216,Good news for slackers: Naps may cut risk for heart problems,other,present,negative,negative,negative,joy
1217,Snowbirds shortening their Florida stays,other,present,neut,neut,na,sadness
1218,Win a (concert) date with the Police,other,present,neut,neut,na,joy
1219,"Snow begins, heavy accumulations expected",other,na,neut,na,neut,fear
1220,"Jet flips in snowstorm, none dead",other,na,negative,na,na,joy
1221,Frantic 911 call in Ryan O'Neal case,other,na,neut,na,neut,surprise
1222,Durant's success trumps the Gators,other,present,positive,neut,positive,joy
1223,Scientist snoops in astronauts' journals,other,present,neut,neut,na,disgust
1224,YouTube founders split $650M payout,other,past,negative,neut,negative,joy
1225,African nation hopes Whoopi can help,other,na,neut,na,neut,joy
1226,United hang on to six-point lead,other,na,positive,na,positive,joy
1227,Lawyer seizes Smith's Bahamas home,other,na,neut,na,na,sadness
1228,Was Prince's super show too revealing?,other,na,positive,na,na,surprise
1229,Clijsters looks for a long goodbye,other,na,neut,na,neut,sadness
1230,Snow's too deep even for snowmobiles,other,na,neut,na,na,surprise
1231,Study: Female seals picky about mates,other,na,negative,na,negative,surprise
1232,"ROUNDUP: Protests erupt despite ""state of siege"" In Guinea",other,na,negative,na,na,anger
1233,Study: More kids exposed to online porn,other,na,neut,na,na,disgust
1234,Beyonce new SI bikini cover girl,other,present,neut,neut,na,joy
1235,"Marijuana helps ease HIV nerve pain, study says",other,present,positive,negative,positive,surprise
1236,Serena misses Bangalore tournament,other,present,negative,neut,negative,sadness
1237,"Dryer blamed for fire killing 39 cats, dogs",other,present,negative,neut,negative,sadness
1238,"Roddick, Murray score in San Jose",other,na,neut,na,na,joy
1239,Apple trademark dispute settled,other,na,negative,na,neut,joy
1240,U.S. online love brokers eye China,other,na,positive,na,na,sadness
1241,U.S. diverts troops to fight Taliban,other,present,neut,neut,neut,anger
1242,'House of Cards' actor Ian Richardson dead,other,na,negative,na,na,sadness
1243,Taliban leader killed in airstrike,other,na,negative,na,negative,sadness
1244,Escape to Prague without the summer hordes,other,na,negative,na,na,joy
1245,Kathmandu: First snow in 63 years,other,na,neut,na,na,surprise
1246,Nasdaq fails in bid for LSE,other,na,negative,na,negative,sadness
1247,Ex-pastor gets death sentence,other,present,negative,negative,negative,sadness
1248,Baby born on turnpike after dad misses exit,other,present,negative,neut,negative,surprise
1249,Study links chimps and 'hammers',other,na,neut,na,na,surprise
1250,UN-Google Earth map climate change,other,present,neut,neut,neut,joy
